@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute appName {'WeChat','Weibo','bilibili','iQIYI','手机淘宝','京东','Alipay','携程旅行','马蜂窝旅游','QQMusic','酷狗音乐','拼多多','今日头条','新浪新闻','Tencent news','NetEase News','抖音短视频','Meituan','Ximalaya','NetEase Music'}
@data
47284,6,8080,67,13293,40,1280,198.40299,288.28225,6.97527,2.7085,35.21928,0.000005,46.739709,2.58273,7.62736,170.460142,WeChat
47284,6,8080,6,388,40,77,64.66667,17.44197,-1.2,-0.84853,7.12065,0.005158,209.738019,42.03205,83.85303,210.160246,WeChat
41607,6,443,10,1420,40,930,142,263.35679,5.92152,2.93444,83.28073,0.000005,32.031064,3.61599,10.04646,32.543871,手机淘宝
41414,6,80,10,1748,40,1045,174.8,304.2334,4.48054,2.55044,96.20705,0.003494,0.194616,0.07001,0.06794,0.630118,WeChat
48415,6,80,10,1456,40,737,145.6,219.49223,3.01306,2.19801,69.40954,0.000004,0.188455,0.05688,0.07763,0.511923,WeChat
48405,6,80,12,1875,40,737,156.25,211.77548,2.38357,1.93351,61.13432,0.000022,0.210298,0.07476,0.0731,0.822386,WeChat
38597,6,80,10,1533,40,782,153.3,234.86594,2.88073,2.1677,74.27113,0.004063,0.2061,0.08065,0.07532,0.725875,WeChat
44758,6,80,133,90957,40,1400,683.88722,672.21984,-1.96571,0.11665,58.28885,0,17.998561,0.15521,1.55991,20.487681,WeChat
48397,6,80,10,1456,40,737,145.6,219.49223,3.01306,2.19801,69.40954,0.000027,0.207325,0.05994,0.08136,0.539427,WeChat
49835,6,80,10,1761,40,1042,176.1,304.34272,4.33005,2.51311,96.24162,0.002778,0.255521,0.09173,0.0919,0.825611,WeChat
41418,6,80,10,2113,40,961,211.3,336.59294,0.82911,1.71245,106.44003,0.001851,0.658201,0.14389,0.19876,1.295016,WeChat
38589,6,80,10,1873,40,848,187.3,289.33097,0.95794,1.73991,91.49449,0.000041,0.802912,0.15136,0.24471,1.362271,WeChat
48070,6,80,10,2129,40,1286,212.9,380.87017,4.064,2.448,120.44172,0.000009,0.19829,0.045,0.07843,0.405039,手机淘宝
48363,6,80,10,1456,40,737,145.6,219.49223,3.01306,2.19801,69.40954,0.000002,0.2134,0.05851,0.08248,0.52661,WeChat
45232,6,80,17,1782,40,518,104.82353,115.7971,7.29506,2.87589,28.08492,0.001185,119.127221,7.56737,28.80475,121.077979,手机淘宝
48335,6,80,10,1533,40,782,153.3,234.86594,2.88073,2.1677,74.27113,0.000643,0.225238,0.06932,0.07897,0.623904,WeChat
42840,6,80,137,80928,40,1400,590.71533,650.74199,-1.79852,0.41081,55.59664,0,0.192505,0.0078,0.02392,1.060747,Ximalaya
38558,6,80,129,77582,40,1400,601.41085,651.85575,-1.82054,0.36982,57.3927,0,6.353029,0.05869,0.55918,7.512881,Ximalaya
43256,6,80,11,2496,52,1255,226.90909,377.10439,2.86584,2.17453,113.70125,0.00001,4.828862,0.60794,1.4121,6.079401,Ximalaya
38588,6,80,133,77648,40,1400,583.81955,654.19753,-1.79307,0.42744,56.72612,0,5.038055,0.04684,0.43702,6.183222,Ximalaya
