@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute totalpkts numeric
@attribute totalsize numeric
@attribute minsize numeric
@attribute maxsize numeric
@attribute meansize numeric
@attribute stdsize numeric
@attribute kurtosisSize numeric
@attribute skewnessSize numeric
@attribute standardErrorSize numeric
@attribute miniat numeric
@attribute maxiat numeric
@attribute meaniat numeric
@attribute stdiat numeric
@attribute duration numeric
@attribute behavior {chat,browser,video,search}
@data

48248,6,443,29,9670,40,1400,333.44828,498.88908,0.32335,1.44935,92.64138,0.000001,12.339492,0.4754,2.28359,13.311288,chat
43029,6,443,23,1960,40,530,85.21739,111.87686,9.51633,3.33308,23.32794,0.000016,3.23286,0.17713,0.6677,3.896802,chat
48032,6,443,38,5298,40,530,139.42105,137.34927,0.2679,1.24818,22.28099,0.000011,33.412128,2.31777,6.29256,85.757612,chat
48172,6,443,30,10306,40,1400,343.53333,492.58635,0.26172,1.39844,89.93355,0,19.200139,0.72254,3.4932,20.953756,chat
44676,6,443,36,11975,40,1400,332.63889,512.20911,0.42659,1.51644,85.36819,0.000001,16.261589,0.50936,2.7043,17.827625,chat
49369,6,80,15,4368,40,1400,291.2,494.059,0.96425,1.71574,127.56548,0.000006,0.111741,0.03009,0.03481,0.421203,chat
48795,6,443,17,2846,40,344,167.41176,129.66339,-1.61382,0.33576,31.44799,0.000015,90.358447,7.0758,21.69702,113.212791,chat
45390,6,443,33,11953,40,1400,362.21212,420.61339,0.0021,1.07383,73.21939,0.000006,3.360066,0.24761,0.63473,7.923408,chat
44646,6,443,28,9590,40,1400,342.5,501.45478,0.23661,1.41379,94.76605,0.000001,18.420751,0.72053,3.47162,19.454227,chat
44620,6,443,30,11435,40,1400,381.16667,545.35365,-0.29427,1.26549,99.5675,0.000001,7.323082,0.29955,1.33142,8.686901,chat
44672,6,443,28,9580,40,1400,342.14286,501.79882,0.23379,1.4129,94.83106,0,16.605321,0.66055,3.12766,17.834797,chat
43884,6,443,22,4172,40,1400,189.63636,321.01268,7.04507,2.76931,68.44013,0.000004,4.644723,0.51618,1.10738,10.839867,chat
37005,6,443,75,48536,40,1400,647.14667,621.45328,-1.79065,0.25626,71.75924,0.000001,2.369779,0.1129,0.42103,8.354589,chat
44734,6,443,29,10654,40,1400,367.37931,510.84713,-0.20668,1.2429,94.86193,0.000001,0.168405,0.03291,0.0455,0.921578,chat
37091,6,443,6,272,40,60,45.33333,7.88811,-0.34041,1.15907,3.22031,0.026346,30.0263,6.06101,11.98271,30.305038,chat
49490,6,80,15,4004,40,1273,266.93333,421.23144,1.71983,1.84985,108.76149,0.000052,2.59697,0.23462,0.66307,3.284743,chat
44560,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.000021,0.071873,0.02039,0.02818,0.101961,chat
44714,6,443,27,9527,40,1400,352.85185,507.7807,0.08044,1.35699,97.72244,0.000001,2.133075,0.11843,0.40566,3.079129,chat
48010,6,443,35,14020,40,1400,400.57143,546.6495,-0.64937,1.09776,92.40063,0.000009,1.999996,0.17519,0.37695,5.956345,chat
44732,6,443,35,12457,40,1400,355.91429,519.91776,0.07756,1.39385,87.88214,0.000001,119.746472,3.65222,20.21175,124.175454,chat
40529,6,443,6,272,40,60,45.33333,7.88811,-0.34041,1.15907,3.22031,0.026272,30.026007,6.07391,11.9762,30.369563,chat
48192,6,443,26,9551,40,1400,367.34615,516.31423,-0.13059,1.28178,101.25755,0.000001,16.968827,0.71334,3.31839,17.833401,chat
39387,6,443,40,13477,40,1400,336.925,454.50035,0.82534,1.59593,71.86282,0.000001,89.999577,2.74561,14.2264,107.078664,chat
44594,6,443,33,11814,40,1400,358,525.21892,0.09308,1.40754,91.42888,0.000001,34.641399,1.13644,6.01987,36.366042,chat
44670,6,443,28,9579,40,1400,342.10714,501.76007,0.23481,1.41319,94.82374,0.000001,17.006574,0.66024,3.20598,17.826567,chat
44598,6,443,29,9620,40,1400,331.72414,496.14374,0.38829,1.46675,92.13158,0.000002,20.702146,0.77669,3.83492,21.747209,chat
48232,6,443,27,9617,40,1400,356.18519,509.97604,0.01908,1.33991,98.14493,0.000001,6.198831,0.27416,1.18584,7.128174,chat
48006,6,443,37,11129,40,1400,300.78378,472.81795,0.79978,1.60203,77.73079,0.000015,1.999994,0.14158,0.36173,5.097015,chat
49486,6,80,10,1847,40,1004,184.7,302.81415,3.1,2.21864,95.75824,0.000047,0.211259,0.0449,0.07947,0.404097,chat
44680,6,443,27,10328,40,1400,382.51852,532.4086,-0.21989,1.26546,102.46208,0.000001,15.260703,0.62267,2.92792,16.189297,chat
39951,6,443,20,2096,40,530,104.8,116.13337,7.31792,2.93293,25.96821,0.000021,49.514681,3.28993,10.9796,62.508602,chat
44817,6,80,39,8668,40,1400,222.25641,368.32822,4.11752,2.32773,58.97972,0.000002,44.213982,1.19371,7.07306,45.361159,chat
48052,6,443,25,6188,40,1400,247.52,404.84477,2.93642,2.09877,80.96895,0.000003,5.035981,0.412,1.14537,9.888035,chat
48306,6,443,26,9573,40,1400,368.19231,511.23425,-0.05746,1.30422,100.26129,0.000001,119.77242,4.94416,23.44131,123.603975,chat
45126,6,443,25,5864,40,1400,234.56,396.37286,3.47296,2.20311,79.27457,0.000009,10.063444,0.76267,2.15553,18.303965,chat
37997,6,80,205,134732,40,1400,657.22927,663.84395,-1.93024,0.20527,46.36487,0,44.330206,0.22376,3.09579,45.64718,chat
43000,6,443,33,5388,40,1400,163.27273,325.62064,10.02997,3.40853,56.68328,0.000013,1.563852,0.12029,0.30288,3.849265,chat
46617,6,443,22,11618,40,1400,528.09091,545.71637,-1.29963,0.61167,116.34712,0.000016,90.312186,5.50287,19.18526,115.560318,chat
48196,6,443,35,12938,40,1400,369.65714,520.8357,-0.08874,1.30441,88.0373,0.000001,5.704254,0.20743,0.96096,7.052739,chat
48256,6,443,29,10231,40,1400,352.7931,522.4359,0.0976,1.39772,97.01391,0.000001,11.484615,0.44464,2.12506,12.449982,chat
47992,6,443,42,20310,40,1400,483.57143,585.30017,-1.23703,0.8022,90.31378,0.000001,119.383224,3.052,18.39755,125.132178,chat
44674,6,443,25,9471,40,1400,378.84,519.02691,-0.21902,1.24044,103.80538,0.000001,16.911884,0.74311,3.37169,17.834697,chat
48194,6,443,26,9552,40,1400,367.38462,516.36697,-0.13135,1.28159,101.2679,0.000001,16.889499,0.71332,3.30224,17.833023,chat
48252,6,443,26,9551,40,1400,367.34615,516.31423,-0.13059,1.28178,101.25755,0.000001,10.708388,0.4623,2.0919,11.557457,chat
44634,6,443,26,9489,40,1400,364.96154,513.76862,-0.0728,1.2989,100.75832,0.000001,12.387324,0.53574,2.41982,13.393468,chat
48218,6,443,26,9552,40,1400,367.38462,516.35766,-0.13149,1.28152,101.26607,0.000001,8.742166,0.38595,1.70618,9.648633,chat
44660,6,443,26,9500,40,1400,365.38462,513.4286,-0.07105,1.29954,100.69163,0,26.501499,1.09673,5.18589,27.418214,chat
48012,6,443,35,10159,40,1400,290.25714,462.7813,1.2743,1.73044,78.22432,0.000002,0.177659,0.03432,0.04387,1.16694,chat
42379,6,443,19,1270,40,82,66.84211,18.19561,-1.55489,-0.48072,4.17436,0.00001,84.61131,7.08592,21.11677,127.546621,chat
44552,6,80,34,10507,40,1380,309.02941,513.25355,0.23016,1.50239,88.02226,0.000005,5.593137,0.28785,0.99395,9.49902,chat
48116,6,443,29,13450,40,1400,463.7931,565.66801,-1.09742,0.84131,105.04191,0.000001,3.381223,0.16213,0.62209,4.53975,chat
48118,6,443,33,15408,40,1400,466.90909,583.36263,-1.12759,0.8657,101.5504,0,6.548652,0.26417,1.13834,8.453502,chat
44445,6,443,38,3933,40,519,103.5,80.72753,16.09942,3.58486,13.09573,0.000202,102.144024,5.70718,18.53955,211.165789,chat
44556,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.000019,0.082171,0.02254,0.03205,0.112686,chat
47231,6,443,23,5113,40,880,222.30435,285.91675,0.78608,1.52805,59.61776,0.000023,0.494103,0.10477,0.13935,2.304991,chat
47839,6,443,26,3572,40,847,137.38462,196.50584,5.05072,2.45586,38.53797,0.000004,3.246128,0.1539,0.63209,3.84758,chat
39537,6,443,39,14031,40,1400,359.76923,500.21265,0.07786,1.40058,80.09813,0.000001,39.027537,1.40292,6.28878,53.311055,chat
43958,6,80,22,1628,40,320,74,75.6451,4.07112,2.39784,16.12759,0.000011,4.928028,0.52013,1.14364,10.922825,chat
44558,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.00003,0.072345,0.0204,0.02837,0.101998,chat
48176,6,443,28,9654,40,1400,344.78571,504.06599,0.17269,1.39623,95.25952,0.000001,7.219377,0.31351,1.35593,8.464815,chat
43426,6,80,15,1348,40,320,89.86667,87.18552,1.48388,1.78744,22.51121,0.000009,0.115908,0.03655,0.0386,0.511643,chat
48146,6,443,34,11662,40,1400,343,521.4671,0.25824,1.47256,89.43087,0.000002,19.242865,0.61818,3.29291,20.399856,chat
44718,6,443,33,14314,40,1400,433.75758,577.71997,-0.91708,0.98841,100.56814,0.000001,0.179537,0.0385,0.04792,1.23188,chat
45161,6,80,15,1336,40,320,89.06667,87.58346,1.47264,1.78514,22.61395,0.000015,0.254648,0.0634,0.08817,0.887598,chat
45460,6,443,21,5985,40,1400,285,431.75743,1.81996,1.82203,94.21719,0.000009,119.820442,6.04973,26.10093,120.994644,chat
48264,6,443,25,9574,40,1400,382.96,524.29049,-0.32053,1.20958,104.8581,0.000001,7.251257,0.33926,1.44192,8.142139,chat
44574,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.000001,0.066463,0.01932,0.0263,0.096606,chat
44728,6,443,28,9581,40,1400,342.17857,501.85101,0.23296,1.41271,94.84093,0.000002,0.124616,0.03416,0.03741,0.922209,chat
44628,6,443,27,9528,40,1400,352.88889,507.84711,0.07982,1.3569,97.73522,0.000002,13.310131,0.55046,2.55234,14.311876,chat
48250,6,443,28,9645,40,1400,344.46429,504.46616,0.16921,1.39521,95.33514,0,12.838871,0.51181,2.41799,13.818978,chat
45440,6,443,30,17949,40,1400,598.3,623.54926,-1.66936,0.46136,113.844,0.000013,41.919998,4.22378,10.47479,122.489576,chat
44582,6,443,28,10134,40,1400,361.92857,529.0698,-0.04529,1.34658,99.98479,0.000001,21.102779,0.81949,3.97824,22.126112,chat
44738,6,443,32,12651,40,1400,395.34375,548.44118,-0.55468,1.1397,96.95162,0.000001,0.183159,0.03599,0.04409,1.115717,chat
48132,6,443,24,5848,40,1400,243.66667,407.30565,2.95052,2.09454,83.14092,0.000008,16.224306,0.74603,3.30046,17.158773,chat
38488,6,443,21,5245,40,1320,249.7619,382.58904,3.26562,2.16963,83.48777,0.000001,2.27427,0.14844,0.48993,2.968771,chat
40697,6,443,27,4028,40,1400,149.18519,307.53994,9.44332,3.29639,59.18609,0.000012,18.398563,0.74349,3.53161,19.330666,chat
44710,6,443,33,12755,40,1400,386.51515,548.45829,-0.41077,1.23109,95.47433,0.000001,119.669219,3.79054,20.81276,121.297274,chat
44540,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.000022,0.072085,0.02034,0.02816,0.101715,chat
43802,6,80,6,784,40,368,130.66667,115.43926,0.74495,1.52248,47.12788,0.037974,156.82842,31.45556,62.68647,157.277806,chat
48272,6,443,25,9563,40,1400,382.52,524.68132,-0.32222,1.20902,104.93626,0.000001,6.813683,0.32144,1.35444,7.714612,chat
44572,6,443,6,271,40,71,45.16667,11.55302,2.04,2.14663,4.7165,0.000026,0.071017,0.02021,0.02785,0.101028,chat
44708,6,443,26,9487,40,1400,364.88462,513.67637,-0.07107,1.29938,100.74022,0.000001,2.043115,0.12317,0.39462,3.079265,chat
39311,6,443,35,5488,40,368,156.8,135.15299,-1.14922,0.69017,22.84503,0.0003,30.944214,3.59774,7.28354,122.323309,chat
48007,6,443,37,15218,40,1400,411.2973,552.19238,-0.7306,1.05334,90.77987,0.000009,1.999988,0.17389,0.38365,6.260187,chat
44650,6,443,27,9539,40,1400,353.2963,507.51185,0.08141,1.35741,97.6707,0.000001,18.109812,0.7328,3.47576,19.052784,chat
