@relation mobile_gt
@attribute srcport numeric
@attribute proto numeric
@attribute dstport numeric
@attribute inTotalpkts numeric
@attribute inTotalsize numeric
@attribute inMinsize numeric
@attribute inMaxsize numeric
@attribute inMeansize numeric
@attribute inStdsize numeric
@attribute inKurtosisSize numeric
@attribute inSkewnessSize numeric
@attribute inStandardErrorSize numeric
@attribute inMiniat numeric
@attribute inMaxiat numeric
@attribute inMeaniat numeric
@attribute inStdiat numeric
@attribute inDuration numeric
@attribute outTotalpkts numeric
@attribute outTotalsize numeric
@attribute outMinsize numeric
@attribute outMaxsize numeric
@attribute outMeansize numeric
@attribute outStdsize numeric
@attribute outKurtosisSize numeric
@attribute outSkewnessSize numeric
@attribute outStandardErrorSize numeric
@attribute outMiniat numeric
@attribute outMaxiat numeric
@attribute outMeaniat numeric
@attribute outStdiat numeric
@attribute outDuration numeric
@attribute behavior {chat,browser,video,search}
@data

48248,6,443,13,5099,40,1400,392.23077,521.84881,-0.30036,1.18903,144.73482,0.000001,12.429804,1.10007,3.41697,13.200874,16,4571,40,1400,285.6875,474.08869,1.3767,1.8152,118.52217,0.000063,12.339492,0.88742,3.06151,13.311288,chat
43029,6,443,10,814,40,336,81.4,86.34836,5.42321,2.79032,27.30575,0.000016,3.275553,0.42823,1.01015,3.854087,13,1146,40,530,88.15385,128.02034,8.83544,3.39544,35.50645,0.000022,3.315424,0.3212,0.90439,3.854349,chat
48032,6,443,22,3296,40,368,149.81818,146.93215,-1.30999,0.78722,31.32604,0.000011,33.454697,4.07171,7.9242,85.505848,16,2002,40,530,125.125,121.51537,5.34327,2.32448,30.37884,0.000132,33.45473,5.71717,8.93581,85.757612,chat
48172,6,443,15,5762,40,1400,384.13333,496.84832,-0.08795,1.21644,128.28568,0.000001,19.283408,1.48907,4.93694,20.847009,15,4544,40,1400,302.93333,484.89964,1.02879,1.71471,125.20055,0,19.200139,1.4967,4.91274,20.953756,chat
44676,6,443,16,6725,40,1400,420.3125,537.66994,-0.50601,1.12269,134.41749,0.000001,16.403391,1.18161,4.0728,17.724204,20,5250,40,1400,262.5,479.48384,2.03439,2.03482,107.21585,0.000051,16.261589,0.9383,3.61637,17.827625,chat
49369,6,80,7,2616,40,1400,373.71429,531.39109,-0.25318,1.26536,200.84695,0.000006,0.184613,0.06527,0.07873,0.391619,8,1752,40,1400,219,446.5725,4.00887,2.58723,157.88722,0.000025,0.111741,0.05596,0.04857,0.39173,chat
48795,6,443,12,2222,40,344,185.16667,137.50747,-1.77307,0.14351,39.69499,0.000015,90.358447,10.28752,25.52976,113.162764,5,624,40,242,124.8,95.97166,-1.53125,0.48871,42.91983,0.07207,0.802036,0.29537,0.29514,1.181486,chat
45390,6,443,19,4414,40,611,232.31579,259.42488,-1.30816,0.78887,59.51615,0.000059,3.360066,0.43847,0.80064,7.892536,14,7539,40,1400,538.5,521.24984,-1.32896,0.41314,139.30988,0.000006,3.976612,0.60712,1.30289,7.892558,chat
44646,6,443,13,5099,40,1400,392.23077,521.84881,-0.30036,1.18903,144.73482,0.000001,18.523286,1.61296,5.0994,19.355577,15,4491,40,1400,299.4,478.92502,1.20144,1.75685,123.65791,0.000388,18.420751,1.38959,4.72445,19.454227,chat
44620,6,443,14,6300,40,1400,450,564.6936,-0.8661,0.96849,150.92071,0.000001,7.471612,0.66031,1.97228,8.584014,16,5135,40,1400,320.9375,520.43497,0.75126,1.67675,130.10874,0.000049,7.323082,0.57913,1.8107,8.686901,chat
44672,6,443,13,5112,40,1400,393.23077,521.33573,-0.29968,1.18967,144.59252,0.000001,16.67029,1.47707,4.58215,17.724884,15,4468,40,1400,297.86667,479.84996,1.1947,1.75466,123.89673,0,16.605321,1.27391,4.25327,17.834797,chat
43884,6,443,11,1104,40,481,100.36364,127.65883,4.96266,2.61682,38.49059,0.000016,4.9994,1.06921,1.53144,10.692109,11,3068,40,1400,278.90909,416.96794,2.40944,1.93829,125.72056,0.000004,4.838367,1.08399,1.87143,10.839867,chat
37005,6,443,53,46618,40,1400,879.58491,592.93442,-1.62297,-0.43135,81.44581,0.000001,2.495013,0.15854,0.52543,8.243892,22,1918,40,818,87.18182,160.99764,17.2234,4.4397,34.32481,0.000016,4.218779,0.39784,0.97897,8.354589,chat
44734,6,443,13,6135,40,1400,471.92308,540.73674,-1.06041,0.77781,149.97339,0.000001,0.179028,0.06838,0.06498,0.820585,16,4519,40,1400,282.4375,468.32841,1.55643,1.85669,117.0821,0.000022,0.231982,0.06144,0.07543,0.921578,chat
37091,6,443,3,132,40,52,44,5.65685,-0.75,1.06066,3.26599,0.150956,30.12772,15.13934,14.98838,30.278676,3,140,40,60,46.66667,9.42809,-0.75,1.06066,5.44331,0.127782,30.15091,15.13935,15.01156,30.278692,chat
49490,6,80,8,1238,40,483,154.75,189.63831,-0.33742,1.31458,67.04727,0.000052,2.59697,0.46893,0.87818,3.282513,7,2766,40,1273,395.14286,555.24677,-0.78358,1.10623,209.86355,0.00234,2.633888,0.54746,0.94223,3.284743,chat
44560,6,443,2,80,40,40,40,0,-3,0,0,0.000021,0.000021,0.00002,0,0.000021,4,191,40,71,47.75,13.42339,0.11111,1.5396,6.7117,0.000082,0.101612,0.03399,0.04782,0.101961,chat
44714,6,443,12,5059,40,1400,421.58333,532.7472,-0.56057,1.06491,153.79087,0.000001,2.332769,0.26997,0.65768,2.969655,15,4468,40,1400,297.86667,479.84996,1.1947,1.75466,123.89673,0.000027,2.133075,0.21994,0.53847,3.079129,chat
48010,6,443,20,9758,40,1400,487.9,587.41645,-1.36111,0.70844,131.35031,0.000009,1.999996,0.30791,0.46713,5.850311,15,4262,40,1400,284.13333,462.01326,1.93594,1.94791,119.29131,0.000023,3.819228,0.42545,0.9631,5.956345,chat
44732,6,443,20,7375,40,1400,368.75,509.92126,-0.02966,1.32543,114.02186,0.000001,119.793914,6.5339,26.69839,124.144071,15,5082,40,1400,338.8,532.47375,0.44284,1.57999,137.48413,0.00002,1.106988,0.10956,0.28063,1.533855,chat
40529,6,443,3,132,40,52,44,5.65685,-0.75,1.06066,3.26599,0.219123,30.124036,15.17158,14.95246,30.343159,3,140,40,60,46.66667,9.42809,-0.75,1.06066,5.44331,0.124433,30.218858,15.17165,15.04721,30.343291,chat
48192,6,443,12,5060,40,1400,421.66667,532.84931,-0.56185,1.06455,153.82035,0.000001,17.167272,1.61179,4.91943,17.729655,14,4491,40,1400,320.78571,497.00462,0.68546,1.60795,132.83007,0.000082,16.968827,1.3718,4.50333,17.833401,chat
39387,6,443,23,9646,40,1320,419.3913,488.07606,-0.22088,1.23334,101.77089,0.000001,89.999577,4.86589,18.66744,107.049523,17,3831,40,1400,225.35294,376.96668,4.45541,2.51156,91.42785,0.000008,4.623163,0.33205,1.11018,5.312741,chat
44594,6,443,15,6563,40,1400,437.53333,546.07238,-0.64604,1.07123,140.99528,0.000001,34.819403,2.59152,8.9416,36.281325,18,5251,40,1400,291.72222,497.56818,1.38622,1.86243,117.27794,0.000001,34.641399,2.13918,8.12961,36.366042,chat
44670,6,443,13,5112,40,1400,393.23077,521.33573,-0.29968,1.18967,144.59252,0.000001,17.096655,1.4771,4.70996,17.725237,15,4467,40,1400,297.8,479.76817,1.19743,1.75533,123.87561,0.000003,17.006574,1.27333,4.36409,17.826567,chat
44598,6,443,14,5152,40,1400,368,510.54187,-0.03029,1.30361,136.44805,0.000002,20.805126,1.665,5.52597,21.644948,15,4468,40,1400,297.86667,479.84996,1.1947,1.75466,123.89673,0.00001,20.702146,1.55337,5.31151,21.747209,chat
48232,6,443,13,5113,40,1400,393.30769,521.43639,-0.30104,1.18932,144.62043,0.000001,6.374434,0.58503,1.74696,7.020404,14,4504,40,1400,321.71429,496.62021,0.68484,1.6081,132.72733,0.000028,6.198831,0.54832,1.63359,7.128174,chat
48006,6,443,19,5400,40,1400,284.21053,460.13483,1.39757,1.77696,105.56217,0.000015,1.999994,0.27668,0.47904,4.98024,18,5729,40,1400,318.27778,485.23291,0.47336,1.52281,114.37049,0.000028,3.820304,0.29982,0.88358,5.097015,chat
49486,6,80,5,663,40,483,132.6,175.37115,1.05005,1.866,78.42836,0.000047,0.215937,0.10061,0.09698,0.402446,5,1184,40,1004,236.8,383.6782,1.05993,1.8731,171.58611,0.001436,0.21291,0.10057,0.09889,0.402265,chat
44680,6,443,12,5060,40,1400,421.66667,532.84931,-0.56185,1.06455,153.82035,0.000001,15.457834,1.46236,4.42633,16.08601,15,5268,40,1400,351.2,529.97776,0.3606,1.53034,136.83967,0.000011,15.260703,1.15638,3.91269,16.189297,chat
