@relation flows-weka.filters.unsupervised.attribute.Remove-R16-37-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute app {BG,FG}

@data
443,56936,6,10,559,40,160,55.9,35.30567,0.000041,0.105595,0.02641,0.0427,0.237704,BG
443,44217,6,22,6736,40,1500,306.18182,471.3138,0.000004,119.887278,5.83119,25.50523,122.455062,BG
80,53421,6,35,15337,40,1500,438.2,627.07101,0.000001,4.544735,0.21486,0.78333,7.305274,BG
443,59689,6,22,5529,52,1500,251.31818,409.58054,0.000003,1.084001,0.18875,0.25369,3.963697,BG
80,40358,6,952,708586,40,1500,744.31303,722.36874,0,72.931242,0.13077,2.37958,124.358428,BG
443,50049,6,47,13665,40,1500,290.74468,491.68401,0.000002,9.890824,0.32188,1.46759,14.806515,BG
443,48614,6,31,8944,40,1492,288.51613,441.69139,0.000007,4.616011,0.37639,0.9193,11.291603,BG
80,59731,6,8,733,52,233,91.625,65.88615,0.000007,0.710801,0.14512,0.23296,1.015873,BG
80,54823,6,9,1691,40,1152,187.88889,345.21248,0.000512,64.926442,8.17356,21.45061,65.388487,BG
80,46874,6,11,1571,40,861,142.81818,238.41553,0.000609,64.837209,6.60262,19.41195,66.026197,BG
443,56008,6,27,5856,40,1500,216.88889,381.94893,0.000004,0.944152,0.09896,0.22769,2.572928,BG
443,58773,6,35,14147,40,1500,404.2,531.65004,0.000004,1.676635,0.14956,0.3227,5.084993,BG
443,56819,6,16,1784,40,402,111.5,105.7367,0.000333,209.924984,15.36787,52.06776,230.518004,BG
443,51289,6,30,9618,40,1480,320.6,444.9963,0.000001,64.835016,2.30103,11.81819,66.729882,BG
80,35833,6,1770,1507003,40,1500,851.41412,721.31676,0.000001,0.72308,0.03976,0.0496,70.32874,BG
443,37461,6,58,19880,40,1500,342.75862,527.88911,0.000001,119.575467,2.21652,15.68317,126.34154,BG
80,55402,6,11,1198,40,361,108.90909,108.88564,0.000653,25.636149,3.10762,7.64724,31.076244,BG
443,37875,6,26,7135,40,1500,274.42308,464.57575,0.000002,1.687817,0.19192,0.40426,4.798019,BG
80,58524,6,231,164795,40,1380,713.39827,657.16187,0,0.251918,0.00301,0.01877,0.693137,BG
443,48255,6,65,33781,40,1500,519.70769,617.5679,0.000001,45.003826,1.05878,5.89852,67.76187,BG
80,52728,6,43,34144,40,1492,794.04651,715.6657,0,20.065224,1.10312,3.63823,46.33087,BG
12431,3027,17,348,290018,57,1456,833.38506,687.09343,0.000003,3.300347,0.0882,0.28156,30.604056,BG
443,51708,6,24,6758,52,1500,281.58333,453.36666,0.000009,179.845107,7.99232,36.64203,183.823354,BG
80,37797,6,1369,1177878,40,1500,860.39299,701.26147,0,2.020636,0.0608,0.30436,83.170403,BG
443,34053,6,37,12005,40,1480,324.45946,470.54951,0.000001,64.935976,1.9535,10.64984,70.325897,BG
80,53333,6,15,2509,52,1295,167.26667,320.23626,0.000031,14.929681,1.24495,3.80381,17.429316,BG
443,42039,6,37,12576,40,1480,339.89189,460.79484,0.000001,61.591495,1.8398,10.10339,66.232776,BG
80,42061,6,11,2831,52,1400,257.36364,401.19963,0.000007,179.843722,18.07847,53.92184,180.784697,BG
80,40680,6,91,83943,40,1500,922.45055,698.35784,0,0.111399,0.00735,0.02025,0.661503,BG
80,59118,6,3056,2666888,40,1500,872.67277,713.66286,0.000001,2.01574,0.03395,0.20169,103.71696,BG
80,35076,6,61,26809,40,1492,439.4918,525.99185,0.000006,8.905662,0.48133,1.48198,28.879524,BG
443,58753,6,25,10098,40,1500,403.92,553.84214,0.000002,74.585381,5.04442,17.05063,121.065997,BG
80,48241,6,16,1799,52,774,112.4375,179.48014,0.007,18.112541,3.64046,6.14134,54.606953,BG
80,40683,6,982,835940,40,1500,851.26273,713.54151,0,1.445353,0.00343,0.05027,3.364192,BG
80,44124,6,13,3102,40,1400,238.61538,378.85709,0.000795,19.931062,1.70984,5.49409,20.518095,BG
80,48124,6,15,1575,40,762,105,184.52931,0.005122,17.989547,3.47925,5.79695,48.709505,BG
443,50703,6,40,10764,40,1500,269.1,458.68125,0,29.939265,0.79471,4.72803,30.993695,BG
443,49579,6,26,6349,40,1500,244.19231,419.80747,0.000005,1.582152,0.16814,0.38448,4.203474,BG
4038,3027,17,137,106260,41,1456,775.62044,643.51122,0.000004,16.513888,1.33636,3.92564,181.744671,BG
443,55326,6,136,102479,40,1480,753.52206,688.97779,0.000001,31.733907,0.30702,2.72744,41.448228,BG
443,36315,6,26,6795,40,1500,261.34615,431.77932,0.000005,119.285425,4.84121,23.36102,121.030353,BG
