@relation flows-weka.filters.unsupervised.attribute.Remove-R5-15-weka.filters.unsupervised.attribute.Remove-R1

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute app {BG,FG}

@data
443,56936,6,5,219,40,52,43.8,4.91528,0.000041,0.127684,0.05914,0.05947,0.236565,5,340,40,160,68,46.64762,0.002201,0.106734,0.05919,0.04734,0.236744,BG
443,44217,6,12,5622,40,1500,468.5,582.92531,0.000004,120.001767,11.13217,34.42939,122.453858,10,1114,40,317,111.4,106.68571,0.001595,0.116129,0.05127,0.05155,0.461439,BG
80,53421,6,20,14292,40,1500,714.6,712.26262,0.000001,4.643659,0.38443,1.04093,7.304111,15,1045,40,285,69.66667,58.35485,0.000021,4.544735,0.43221,1.14733,6.050936,BG
443,59689,6,11,4336,52,1500,394.18182,535.48972,0.000003,1.084001,0.38215,0.33385,3.821535,11,1193,52,297,108.45455,89.12439,0.000123,0.408225,0.16513,0.1228,1.651284,BG
80,40358,6,561,686324,40,1500,1223.39394,571.41546,0,73.031686,0.22206,3.10192,124.355405,391,22262,40,278,56.93606,15.32173,0.000001,0.128153,0.00824,0.01704,3.214233,BG
443,50049,6,27,11340,40,1500,420,586.68643,0.000002,9.987651,0.56811,1.93622,14.770837,20,2325,40,1069,116.25,224.60162,0.000233,9.890824,0.56894,2.19798,10.809948,BG
443,48614,6,17,7069,40,1492,415.82353,527.92504,0.000007,4.616011,0.70372,1.17356,11.259516,14,1875,40,909,133.92857,223.56893,0.000365,0.954019,0.1563,0.2546,2.031873,BG
80,59731,6,3,284,52,172,94.66667,54.78037,0.000007,0.813179,0.40659,0.40659,0.813186,5,449,52,233,89.8,71.66701,0.10127,0.710801,0.25397,0.26375,1.015873,BG
80,54823,6,4,359,40,219,89.75,75.06789,0.000512,64.999788,21.73453,30.59327,65.203594,5,1332,40,1152,266.4,442.86775,0.101125,65.075648,16.34712,28.13343,65.388487,BG
80,46874,6,5,478,40,298,95.6,101.49601,0.000609,65.000217,16.46965,28.01988,65.878586,6,1093,40,861,182.16667,303.67659,0.100699,65.320612,13.20524,26.05779,66.026197,BG
443,56008,6,14,4646,40,1500,331.85714,496.54763,0.000004,0.944152,0.19783,0.29428,2.571785,13,1210,40,349,93.07692,88.89532,0.000844,0.647279,0.09659,0.18461,1.159045,BG
443,58773,6,18,12144,40,1500,674.66667,621.69741,0.000004,1.777154,0.29905,0.44005,5.083802,17,2003,40,365,117.82353,114.97787,0.000756,1.676635,0.21583,0.39097,3.453221,BG
443,56819,6,11,1202,40,336,109.27273,83.36676,0.000333,209.999199,23.04858,62.39165,230.48576,5,582,40,402,116.4,143.00993,0.000501,0.222427,0.10832,0.07854,0.433265,BG
443,51289,6,14,7007,40,1480,500.5,558.95358,0.000001,65.000191,5.09326,17.29402,66.212354,16,2611,40,653,163.1875,211.70269,0.000207,65.216302,4.44866,16.24118,66.729882,BG
80,35833,6,1014,1470096,40,1500,1449.79882,263.97241,0.000001,0.786847,0.06939,0.06632,70.293861,756,36907,40,255,48.81878,16.61501,0.000018,0.72308,0.09311,0.10053,70.294592,BG
443,37461,6,41,17958,40,1500,438,593.4238,0.000001,119.680312,3.15851,18.65876,126.340424,17,1922,40,725,113.05882,163.70615,0.000308,0.224536,0.11352,0.07041,1.81633,BG
80,55402,6,4,501,40,361,125.25,136.35501,0.000782,4.99924,1.73788,2.30776,5.213652,7,697,40,240,99.57143,88.12954,0.000653,25.636149,5.17937,9.3304,31.076244,BG
443,37875,6,13,5791,40,1500,445.46154,601.79803,0.000002,1.795157,0.39974,0.54491,4.796838,13,1344,40,365,103.38462,104.84313,0.000416,1.687817,0.22017,0.45045,2.642076,BG
80,58524,6,122,158469,40,1380,1298.92623,299.92707,0,0.276853,0.00571,0.02784,0.690947,109,6326,40,410,58.0367,36.2438,0.000001,0.330619,0.0064,0.03351,0.69118,BG
443,48255,6,32,29952,40,1500,936,633.26747,0.000001,45.011598,2.18582,8.33072,67.760449,33,3829,40,653,116.0303,177.04348,0.000047,45.003826,2.11754,8.21323,67.761259,BG
80,52728,6,25,32964,40,1492,1318.56,469.6891,0,20.093179,1.92929,4.64991,46.302948,18,1180,40,336,65.55556,65.82318,0.000401,20.09307,2.49389,5.58686,42.396214,BG
12431,3027,17,218,281026,57,1456,1289.11009,444.3756,0.000003,3.300347,0.14063,0.35308,30.51643,130,8992,59,248,69.16923,18.13333,0.000003,2.222344,0.12153,0.30035,15.677661,BG
443,51708,6,11,4187,52,1500,380.63636,532.96789,0.000009,179.999623,18.35325,53.88719,183.532454,13,2571,52,1400,197.76923,351.82385,0.001014,179.988089,15.31861,49.65337,183.823354,BG
80,37797,6,807,1139211,40,1500,1411.66171,305.77878,0,2.020636,0.10306,0.39142,83.063896,562,38667,40,319,68.80249,25.72463,0.000001,0.388393,0.01635,0.03794,9.172257,BG
443,34053,6,20,7289,40,1480,364.45,500.08914,0.000001,65.000325,3.69948,14.45338,70.290041,17,4716,40,1400,277.41176,428.47377,0.000109,0.712771,0.17104,0.17863,2.736649,BG
80,53333,6,9,934,52,490,103.77778,136.699,0.000031,14.999227,2.17278,4.85567,17.382273,6,1575,52,1295,262.5,461.77114,0.000316,17.10949,3.47646,6.81676,17.382308,BG
443,42039,6,18,10640,40,1480,591.11111,541.91122,0.000001,62.880827,3.89394,14.74899,66.196981,19,1936,40,509,101.89474,137.27609,0.000413,61.967031,3.67761,14.15759,66.197041,BG
80,42061,6,5,624,52,408,124.8,141.63389,0.000007,179.999618,45.07621,77.89817,180.304826,6,2207,52,1400,367.83333,501.52847,0.000156,180.177344,36.15694,72.01027,180.784697,BG
80,40680,6,57,81801,40,1500,1435.10526,271.42571,0,0.118867,0.01157,0.02757,0.648124,34,2142,40,350,63,50.58772,0.000203,0.181447,0.02005,0.04364,0.661503,BG
80,59118,6,1845,2594682,40,1500,1406.33171,353.0259,0.000001,2.01574,0.05624,0.25765,103.714397,1211,72206,40,321,59.6251,21.50467,0.000001,3.637807,0.03478,0.11799,42.083233,BG
80,35076,6,28,21886,40,1492,781.64286,605.18948,0.000006,9.116092,1.06858,2.10753,28.851631,33,4923,40,311,149.18182,130.55487,0.000245,8.905662,0.4841,1.53221,15.491193,BG
443,58753,6,13,8589,40,1500,660.69231,653.1829,0.000002,74.585381,10.08873,23.05043,121.064764,12,1509,40,633,125.75,167.44309,0.000334,44.995438,4.16763,12.91118,45.843883,BG
80,48241,6,11,1302,52,774,118.36364,207.34305,0.090825,18.195322,5.45999,6.85885,54.599935,5,497,52,281,99.4,90.85285,0.100537,18.08489,4.62192,7.77296,18.487672,BG
80,40683,6,543,808288,40,1500,1488.55985,108.83737,0,1.471657,0.00507,0.06366,2.746951,439,27652,40,350,62.98861,22.51474,0,1.445353,0.00768,0.07595,3.364192,BG
80,44124,6,6,485,40,265,80.83333,82.68498,0.000795,19.99959,4.06374,7.9683,20.318717,7,2617,40,1400,373.85714,470.18247,0.000924,20.095121,3.41968,7.45758,20.518095,BG
80,48124,6,10,1126,40,762,112.6,216.46995,0.040805,18.150917,5.4116,6.51663,48.704383,5,449,40,269,89.8,89.9342,0.100939,17.989547,4.59877,7.73128,18.395067,BG
443,50703,6,20,8328,40,1500,416.4,556.90694,0,30.00054,1.62288,6.68924,30.83477,20,2436,40,1229,121.8,259.3011,0.000017,29.960203,1.63125,6.67743,30.993695,BG
443,49579,6,14,5138,40,1500,367,536.24248,0.000005,1.628533,0.32325,0.49815,4.202251,12,1211,40,295,100.91667,90.79873,0.000605,1.582152,0.19314,0.4419,2.124563,BG
4038,3027,17,99,103512,41,1456,1045.57576,556.75089,0.000004,16.513888,1.8545,4.52101,181.740586,38,2748,59,248,72.31579,30.13051,0.000031,4.373432,0.40548,0.97434,15.002782,BG
443,55326,6,71,93029,40,1480,1310.26761,420.67561,0.000001,31.877246,0.59151,3.78411,41.405352,65,9450,40,1400,145.38462,302.46641,0.000163,31.733907,0.60235,3.9312,38.550212,BG
443,36315,6,12,4654,40,1500,387.83333,507.98504,0.000005,119.651001,10.98774,34.36254,120.865137,14,2141,40,1277,152.92857,315.56445,0.000013,119.327627,9.31003,31.75968,121.030353,BG
443,56403,6,14,7870,40,1500,562.14286,649.02981,0.000004,16.174448,1.34065,4.28407,17.428419,13,1759,40,893,135.30769,224.45845,0.000482,16.067075,1.42755,4.41447,17.130595,BG
80,48875,6,9,994,40,654,110.44444,192.27706,0.000543,3.632053,1.15978,1.16226,9.278204,5,394,40,214,78.8,68.04234,0.027077,1.955911,0.56035,0.80694,2.24139,BG
